,sample_id,year,qc_pass,study_id,region,country,country_id,site,site_id,ARTresistant,CQresistant,MQresistant,PPQresistant,PYRresistant,SDXresistant
28921,SPT67480,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,undetermined
28968,SPT67529,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
28937,SPT67496,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
29082,SPT67650,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
29066,SPT67634,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,undetermined,resistant,resistant
29225,SPT67803,2019,True,1200,,Ghana,GH,Ashanti,Ashanti,undetermined,sensitive,undetermined,undetermined,resistant,resistant
29017,SPT67582,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,sensitive,sensitive,sensitive
28938,SPT67497,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,undetermined,undetermined
29214,SPT67792,2019,True,1200,,Ghana,GH,Ashanti,Ashanti,sensitive,sensitive,undetermined,undetermined,resistant,resistant
29101,SPT67669,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
29038,SPT67605,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,undetermined,resistant,resistant
29217,SPT67795,2019,True,1200,,Ghana,GH,Ashanti,Ashanti,sensitive,sensitive,undetermined,sensitive,resistant,resistant
29318,SPT70482,2019,True,1197,,Mali,ML,Koulikoro,Koulikoro,undetermined,undetermined,undetermined,undetermined,resistant,resistant
29073,SPT67641,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,undetermined
28948,SPT67508,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,sensitive,resistant,resistant
29064,SPT67632,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,undetermined,undetermined,undetermined
28908,SPT67467,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,undetermined,resistant,resistant
29473,SPT70642,2019,True,1197,,Mali,ML,Koulikoro,Koulikoro,undetermined,resistant,undetermined,undetermined,resistant,sensitive
28900,SPT67459,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
29074,SPT67642,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
28977,SPT67539,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
29001,SPT67564,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,sensitive,resistant,resistant
29210,SPT67787,2019,True,1200,,Ghana,GH,Ashanti,Ashanti,sensitive,sensitive,undetermined,undetermined,resistant,resistant
29311,SPT70475,2019,True,1197,,Mali,ML,Koulikoro,Koulikoro,undetermined,resistant,undetermined,undetermined,resistant,resistant
32573,SPT91771,2019,True,1306,,Nigeria,NG,Oyo,Oyo,undetermined,sensitive,undetermined,undetermined,resistant,resistant
29061,SPT67629,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,undetermined,resistant,resistant
28950,SPT67511,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,undetermined,undetermined,resistant
28984,SPT67546,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
29024,SPT67590,2019,True,1294,,Ghana,GH,Upper East,Upper East,undetermined,sensitive,undetermined,undetermined,resistant,resistant
29257,SPT67835,2019,True,1200,,Ghana,GH,Ashanti,Ashanti,sensitive,sensitive,undetermined,undetermined,resistant,resistant
28933,SPT67492,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,undetermined,resistant,resistant
28940,SPT67499,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
32577,SPT91775,2019,True,1306,,Nigeria,NG,Oyo,Oyo,undetermined,sensitive,undetermined,undetermined,undetermined,resistant
29324,SPT70488,2019,True,1197,,Mali,ML,Koulikoro,Koulikoro,undetermined,resistant,undetermined,undetermined,resistant,resistant
29223,SPT67801,2019,True,1200,,Ghana,GH,Ashanti,Ashanti,sensitive,sensitive,undetermined,undetermined,resistant,resistant
29053,SPT67621,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,undetermined,resistant,resistant
29517,SPT70686,2019,True,1197,,Mali,ML,Koulikoro,Koulikoro,undetermined,sensitive,undetermined,undetermined,resistant,sensitive
29226,SPT67804,2019,True,1200,,Ghana,GH,Ashanti,Ashanti,undetermined,sensitive,undetermined,undetermined,resistant,resistant
