,sample_id,year,qc_pass,study_id,region,country,country_id,site,site_id,ARTresistant,CQresistant,MQresistant,PPQresistant,PYRresistant,SDXresistant
25693,SPT50247,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
25801,SPT50358,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
25687,SPT50241,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
25808,SPT50365,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
7926,QS0156-C,2015,True,1098,,Ethiopia,ET,Amhara,Amhara,sensitive,resistant,sensitive,sensitive,resistant,sensitive
25685,SPT50239,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,undetermined,sensitive,sensitive,resistant,resistant
16244,SPT00898,2015,True,1146,,Sudan,SD,Kassala,Kassala,sensitive,resistant,sensitive,sensitive,resistant,sensitive
25815,SPT50373,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
26083,SPT50651,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
7932,QS0163-C,2015,True,1098,,Ethiopia,ET,Amhara,Amhara,sensitive,resistant,sensitive,sensitive,resistant,resistant
25810,SPT50367,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,sensitive
25691,SPT50245,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
25799,SPT50356,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
25689,SPT50243,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
22658,SPT38454,2015,True,1247,,Sudan,SD,Khartoum,Khartoum,undetermined,resistant,undetermined,undetermined,undetermined,undetermined
7924,QS0154-C,2015,True,1098,,Ethiopia,ET,Amhara,Amhara,sensitive,resistant,sensitive,sensitive,resistant,resistant
25814,SPT50372,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
26071,SPT50639,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
26076,SPT50644,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
16243,SPT00892,2015,True,1146,,Sudan,SD,Kassala,Kassala,sensitive,resistant,sensitive,sensitive,resistant,resistant
16249,SPT00903,2015,True,1146,,Sudan,SD,Kassala,Kassala,sensitive,resistant,sensitive,sensitive,resistant,resistant
22656,SPT38451,2015,True,1247,,Sudan,SD,Khartoum,Khartoum,undetermined,resistant,undetermined,undetermined,resistant,sensitive
7937,QS0169-C,2015,True,1098,,Ethiopia,ET,Amhara,Amhara,sensitive,resistant,sensitive,sensitive,resistant,resistant
26081,SPT50649,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
